101123122037739,BANKNIFTY 23 Dec 20 35500 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2035500PE,10,11,37739,BANKNIFTY,26009,35500.0,PE,101000000026009,
101123122037740,BANKNIFTY 23 Dec 20 36000 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2036000CE,10,11,37740,BANKNIFTY,26009,36000.0,CE,101000000026009,
101123122037741,BANKNIFTY 23 Dec 20 36000 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2036000PE,10,11,37741,BANKNIFTY,26009,36000.0,PE,101000000026009,
101123122037746,BANKNIFTY 23 Dec 20 36500 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2036500CE,10,11,37746,BANKNIFTY,26009,36500.0,CE,101000000026009,
101123122037750,BANKNIFTY 23 Dec 20 36500 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2036500PE,10,11,37750,BANKNIFTY,26009,36500.0,PE,101000000026009,
101123122037762,BANKNIFTY 23 Dec 20 37000 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2037000CE,10,11,37762,BANKNIFTY,26009,37000.0,CE,101000000026009,
101123122037780,BANKNIFTY 23 Dec 20 37000 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2037000PE,10,11,37780,BANKNIFTY,26009,37000.0,PE,101000000026009,
101123122037786,BANKNIFTY 23 Dec 20 37500 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2037500CE,10,11,37786,BANKNIFTY,26009,37500.0,CE,101000000026009,
101123122037787,BANKNIFTY 23 Dec 20 37500 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2037500PE,10,11,37787,BANKNIFTY,26009,37500.0,PE,101000000026009,
101123122037788,BANKNIFTY 23 Dec 20 38000 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2038000CE,10,11,37788,BANKNIFTY,26009,38000.0,CE,101000000026009,
101123122037793,BANKNIFTY 23 Dec 20 38000 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2038000PE,10,11,37793,BANKNIFTY,26009,38000.0,PE,101000000026009,
101123122037800,BANKNIFTY 23 Dec 20 38500 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2038500CE,10,11,37800,BANKNIFTY,26009,38500.0,CE,101000000026009,
101123122037801,BANKNIFTY 23 Dec 20 38500 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2038500PE,10,11,37801,BANKNIFTY,26009,38500.0,PE,101000000026009,
101123122037803,BANKNIFTY 23 Dec 20 39000 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039000CE,10,11,37803,BANKNIFTY,26009,39000.0,CE,101000000026009,
101123122037804,BANKNIFTY 23 Dec 20 39000 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039000PE,10,11,37804,BANKNIFTY,26009,39000.0,PE,101000000026009,
101123122037807,BANKNIFTY 23 Dec 20 39200 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039200CE,10,11,37807,BANKNIFTY,26009,39200.0,CE,101000000026009,
101123122037808,BANKNIFTY 23 Dec 20 39200 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039200PE,10,11,37808,BANKNIFTY,26009,39200.0,PE,101000000026009,
101123122037809,BANKNIFTY 23 Dec 20 39300 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039300CE,10,11,37809,BANKNIFTY,26009,39300.0,CE,101000000026009,
101123122037814,BANKNIFTY 23 Dec 20 39300 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039300PE,10,11,37814,BANKNIFTY,26009,39300.0,PE,101000000026009,
101123122037815,BANKNIFTY 23 Dec 20 39400 CE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039400CE,10,11,37815,BANKNIFTY,26009,39400.0,CE,101000000026009,
101123122037819,BANKNIFTY 23 Dec 20 39400 PE,14,15,0.05,,0915-1530|1815-1915:,2023-12-14,2023-12-20,NSE:BANKNIFTY23D2039400PE,10,11,37819,BANKNIFTY,26009,39400.0,PE,101000000026009,
